SM_CODE_NEW,SUP,SALES_CODE,LINE_NEW,Year,Quarter,Month,Group_Sales,PRD Type,PRODUCT_NAME_NEW,item Code,item Name,Sales
HOR,HU2,HE12,LINE 2,2026,Q2,4,Existing Products,Product Push,MCXY COLD,1-MC022,MCXY-COLD  1x12x10S, -   
HOR,HU2,HE12,LINE 2,2026,Q2,4,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"10,766"
HOR,HU2,HE12,LINE 2,2026,Q2,4,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"2,430"
HOR,HU2,HE12,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"6,939"
HOR,HU2,HE12,LINE 2,2026,Q2,4,New Product,New Product,T-OPH EYE DROPS,BFS-2-TO001,T-OPH(SOC) 5 ML    1 x 5 ML,"12,710"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,CAZOSIN,1-CA045,CAZOSIN 2 mg.(Blister) 1X10X10'S,693
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,CAZOSIN,1-CA046,CAZOSIN 4MG.(Blister)  1X10X10'S,"1,283"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,EZB-10,1-EZ001,EZB-10 1X3X10'S,"8,203"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,METFOR,1-ME002,METFOR-500 1X10X10'S,"3,271"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,MINOZ,1-MI011,MINOZ 28 1X28'S,"16,150"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,MONKAST,1-MO005,MONKAST-10 1X2X14'S,"2,336"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Other Product,MONKAST,1-MO006,MONKAST-5 1X2X14'S,"2,804"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,AVAFAST,1-AV001,AVAFAST-180 1X10'S,56
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,AVAFAST,1-AV003,AVAFAST-60 1X10'S,"1,776"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,MAPLE FORTE,1-MA008,MAPLE FORTE 1X12X1'S(BOX),"205,720"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,NITE CAP,3-NI001,NITE CAP 1X3X10'S(BOX),-88
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,ONJEL,1-ON004,ONJEL 20 1X28'S,"90,168"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,SALDA  INHALE,BFS-5-SA001,SALDA  INHALE 2.5 ML 1X20X2.5 ML,"7,290"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR001,TRANCELTEAR 0.8 mL 1x30x0.8 mL,"22,103"
HOR,HU3,HC14,LINE 2,2026,Q2,4,Existing Products,Product Push,TRANCELTEAR,BFS-1-TR002,TRANCELTEAR  0.8 mL 1 x 10 x 0.8 mL,"2,131"
HOR,HU3,HC14,LINE 2,2026,Q2,4,New Product,New Product,Ophtocin eye drop,BFS-2-OP001,Ophtocin eye drop 5 ml 1x5 mL,"8,972"
HOR,HU3,HC14,LINE 2,2026,Q2,4,New Product,New Product,ZEROTAN,1-ZE001,ZEROTAN 1X2S,"13,458"
